DepartmentID,Name,GroupName,ModifiedDate,DepartmentName
1,,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,engineering
2,,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,tool design
3,,SALES AND MARKETING,2008-04-30 00:00:00,sales
4,,SALES AND MARKETING,2008-04-30 00:00:00,marketing
5,,INVENTORY MANAGEMENT,2008-04-30 00:00:00,purchasing
6,,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,research and development
7,,MANUFACTURING,2008-04-30 00:00:00,production
8,,MANUFACTURING,2008-04-30 00:00:00,production control
9,,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,human resources
10,,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,finance
11,,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,information services
12,,QUALITY ASSURANCE,2008-04-30 00:00:00,document control
13,,QUALITY ASSURANCE,2008-04-30 00:00:00,quality assurance
14,,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,facilities and maintenance
15,,INVENTORY MANAGEMENT,2008-04-30 00:00:00,shipping and receiving
16,,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,executive
