DepartmentID,Name,GroupName,ModifiedDate
,Engineering,Research and Development,2008-04-30 00:00:00
,Tool Design,Research and Development,2008-04-30 00:00:00
,Sales,Sales and Marketing,2008-04-30 00:00:00
,Marketing,Sales and Marketing,2008-04-30 00:00:00
,Purchasing,Inventory Management,2008-04-30 00:00:00
,Research and Development,Research and Development,2008-04-30 00:00:00
,Production,Manufacturing,2008-04-30 00:00:00
,Production Control,Manufacturing,2008-04-30 00:00:00
,Human Resources,Executive General and Administration,2008-04-30 00:00:00
,Finance,Executive General and Administration,2008-04-30 00:00:00
,Information Services,Executive General and Administration,2008-04-30 00:00:00
,Document Control,Quality Assurance,2008-04-30 00:00:00
,Quality Assurance,Quality Assurance,2008-04-30 00:00:00
,Facilities and Maintenance,Executive General and Administration,2008-04-30 00:00:00
,Shipping and Receiving,Inventory Management,2008-04-30 00:00:00
,Executive,Executive General and Administration,2008-04-30 00:00:00
